fecha_boletin;region;fuente_informacion;categoria_animal;precio_promedio_kg
2026-08-15;puerto_berrio;Sugaberrío;ML;10819
2026-08-15;puerto_berrio;Sugaberrío;MC;9576
2026-08-15;puerto_berrio;Sugaberrío;MG;10050
2026-08-15;puerto_berrio;Sugaberrío;HL;9642
2026-08-15;puerto_berrio;Sugaberrío;HV;8315
2026-08-15;puerto_berrio;Sugaberrío;VP;7450
2026-08-15;puerto_berrio;Sugaberrío;VH;7626
2026-08-22;puerto_berrio;Sugaberrío;ML;11005
2026-08-22;puerto_berrio;Sugaberrío;MC;9482
2026-08-22;puerto_berrio;Sugaberrío;MG;10375
2026-08-22;puerto_berrio;Sugaberrío;HL;9139
2026-08-22;puerto_berrio;Sugaberrío;HV;9037
2026-08-22;puerto_berrio;Sugaberrío;VP;7566
2026-08-22;puerto_berrio;Sugaberrío;VH;7397
2026-08-15;aguachica;Sugaberrío;ML;9500
2026-08-15;aguachica;Sugaberrío;MC;8800
2026-08-15;aguachica;Sugaberrío;HL;9000
2026-08-15;aguachica;Sugaberrío;HV;8400
2026-08-15;aguachica;Sugaberrío;VH;7150
2026-08-15;aguachica;Sugaberrío;VP;7950
2026-08-22;aguachica;Sugaberrío;ML;9000
2026-08-22;aguachica;Sugaberrío;MC;8300
2026-08-22;aguachica;Sugaberrío;HL;8650
2026-08-22;aguachica;Sugaberrío;HV;8200
2026-08-22;aguachica;Sugaberrío;VH;7459
2026-08-22;aguachica;Sugaberrío;VP;7650
2026-08-13;monteria;Subastar;ML;10311
2026-08-13;monteria;Subastar;MC;10063
2026-08-13;monteria;Subastar;MG;9170
2026-08-13;monteria;Subastar;HL;8766
2026-08-13;monteria;Subastar;HV;8200
2026-08-13;monteria;Subastar;VP;7000
2026-08-20;monteria;Subastar;ML;10250
2026-08-20;monteria;Subastar;MC;9897
2026-08-20;monteria;Subastar;MG;8600
2026-08-20;monteria;Subastar;HL;8425
2026-08-20;monteria;Subastar;HV;8378
2026-08-20;monteria;Subastar;VP;7600
2026-08-20;medellin;Central Ganadera;MG;11644
2026-08-20;medellin;Central Ganadera;ML;9300
2026-08-20;medellin;Central Ganadera;MC;9180
2026-08-20;medellin;Central Ganadera;HL;9489
2026-08-20;medellin;Central Ganadera;HV;8810
2026-08-20;medellin;Central Ganadera;VH;8427
2026-08-20;medellin;Central Ganadera;VP;9077
2026-08-13;medellin;Central Ganadera;MG;11058
2026-08-13;medellin;Central Ganadera;ML;10116
2026-08-13;medellin;Central Ganadera;MC;9417
2026-08-13;medellin;Central Ganadera;HL;9517
2026-08-13;medellin;Central Ganadera;HV;8602
2026-08-13;medellin;Central Ganadera;VH;9988
2026-08-13;medellin;Central Ganadera;VP;8619
