fecha_boletin,region,fuente_informacion,categoria_animal,precio_promedio_kg
2026-01-05,puerto_berrio,Sugaberrío,ML,9500
2026-01-05,puerto_berrio,Sugaberrío,MC,8900
2026-01-05,puerto_berrio,Sugaberrío,MG,8500
2026-01-05,puerto_berrio,Sugaberrío,HL,8700
2026-01-05,puerto_berrio,Sugaberrío,HV,7800
2026-01-05,puerto_berrio,Sugaberrío,VP,6900
2026-01-05,puerto_berrio,Sugaberrío,VH,6700
2026-01-05,monteria,Subastar,ML,9600
2026-01-05,monteria,Subastar,MC,8950
2026-01-05,monteria,Subastar,MG,8550
2026-01-05,monteria,Subastar,HL,8800
2026-01-05,monteria,Subastar,HV,7850
2026-01-05,monteria,Subastar,VP,6950
2026-01-05,monteria,Subastar,VH,6750
2026-01-05,aguachica,Sugaberrío,ML,9450
2026-01-05,aguachica,Sugaberrío,MC,8850
2026-01-05,aguachica,Sugaberrío,MG,8450
2026-01-05,chigorodo,Suganar,ML,9550
2026-01-05,chigorodo,Suganar,MC,8900
2026-01-05,chigorodo,Suganar,MG,8500
